,id,z,phi,eta,val,r,zl,act_z
0,1,17.9911594372243,5.8633133574847,2.4999356785040896,z1,40,-53.5387423804705,-35.5475829432462
1,2,30.173163255676602,4.05012513496298,1.3176497010332602,z1,40,10.3478564674888,40.5210197231654
2,3,-24.573090416379298,4.512753570459981,3.7103318389911606,z1,40,62.57908641205971,38.00599599568041
3,4,12.159861042164302,4.69435223767624,4.14589755544586,z1,40,25.441183925981303,37.6010449681456
4,5,40.3616111492738,3.4103258083643597,4.58022436315217,z1,40,5.31758240294956,45.67919355222336
5,6,-23.939532134681897,1.2981245986372298,5.57200613619251,z1,40,-46.426275008122,-70.3658071428039
6,7,-22.516334662213897,5.08283772470755,5.714449188054511,z1,40,-62.579509264478595,-85.0958439266925
7,8,-36.4660137798637,4.32427838220329,0.9914124184095201,z1,40,26.171530305804897,-10.294483474058804
8,9,30.331611144356398,5.9649519873016,4.9975652758535,z1,40,-11.726681622284698,18.6049295220717
9,10,-22.6210990687832,2.9613421677878398,0.7018577759021289,z1,40,47.311011491904104,24.689912423120905
10,11,-10.161542473360901,4.58422169756577,5.90225599683622,z1,40,-99.8774789013159,-110.03902137467679
11,12,35.8682612655684,3.32623631017923,4.45131698129944,z1,40,10.6867892535696,46.555050519138
12,15,24.652802594937402,4.440832490269731,5.01592165738475,z1,40,-12.5284486105672,12.124353984370202
13,16,-29.6755489194766,4.4098670729843805,3.6864234653742898,z1,40,66.0049294052745,36.3293804857979
14,17,1.56428315676749,5.9744019962924,4.6068074571876,z1,40,4.2390240939724,5.80330725073989
15,18,24.934120336547497,0.604494123332334,2.8392602438199597,z1,40,-128.248825304364,-103.31470496781651
16,19,7.6214037835598,3.6067480152805493,5.18212982368488,z1,40,-20.3055965326279,-12.6841927490681
17,21,-18.113443581387397,1.9436218258448503,2.7619740798095798,z1,40,-100.258035746609,-118.3714793279964
18,22,-27.1592861274257,3.3897365720428803,4.05298646228589,z1,40,31.005919520406604,3.8466333929809053
19,23,36.414652108214796,2.79916595585765,3.8522213153373803,z1,40,46.4779926047656,82.8926447129804
20,24,30.7817107066512,1.13907035629246,5.487908880152809,z1,40,-39.2174437524359,-8.435733045784698
21,25,-28.3446915913373,0.891708554806256,2.13812679815767,z1,40,-25.4883478639228,-53.8330394552601
22,26,18.3863210724667,0.507008691609948,2.06677893608426,z1,40,-21.6439007479855,-3.2575796755188016
23,28,46.2411043699831,0.3722034706714001,5.23944896408001,z1,40,-23.2789788986563,22.962125471326797
24,29,-18.1864256737754,1.2626914470928101,3.6893297086709906,z1,40,65.5742068865759,47.38778121280049
25,30,-41.190618602559,2.7943448698286404,0.5378059801092029,z1,40,67.06332730625789,25.87270870369889
26,31,-19.5555531419814,4.8007910966991,2.2152723406306003,z1,40,-30.0609761689499,-49.6165293109313
27,32,-31.622678134590398,2.82038454685142,5.5401084714353095,z1,40,-43.537531512790004,-75.1602096473804
28,33,6.196915358304981,4.413161308488231,1.30028789167278,z1,40,11.092223668016,17.28913902632098
29,35,-32.5067927595228,3.42426487657107,3.42043017183451,z1,40,139.71547020499798,107.20867744547519
30,36,28.887849766761104,1.50665647422116,5.5089299859833805,z1,40,-40.901510072264706,-12.013660305503603
31,37,-28.1507169129327,6.0425546872855405,0.6067907160003511,z1,40,57.62422044993279,29.47350353700009
32,38,45.1638094848022,0.126697647019837,1.89457942097469,z1,40,-13.4237298040969,31.7400796807053
33,41,8.68036057800055,4.4435877399398,4.65676339734445,z1,40,2.2273210586443,10.90768163664485
34,42,-44.452063739299795,0.10930151760121999,5.963057536184389,z1,40,-120.652289506918,-165.10435324621778
35,43,-24.399243667721702,2.72889822764472,0.847231563235316,z1,40,35.3357863477943,10.936542680072595
36,44,-34.3523192917928,3.22588360729778,4.54708173609158,z1,40,6.673185699564941,-27.679133592227863
37,45,10.6027517933398,3.54303922907389,4.38973388820785,z1,40,13.3735471483924,23.976298941732203
38,46,-19.815212697722,5.31870352679067,5.556314598919849,z1,40,-44.9793095035518,-64.7945222012738
39,47,14.126539742574101,1.9225119457564699,1.75400777049263,z1,40,-7.41157057592913,6.714969166644971
40,48,31.6647161263973,4.86955800555116,0.6870355586801441,z1,40,48.7588141542533,80.4235302806506
41,49,-34.4410225516185,5.70338156617507,3.4451338696426803,z1,40,127.70552453224701,93.26450198062851
42,50,-31.651807180605804,1.1896423605108601,5.73744344853205,z1,40,-65.8694633208299,-97.5212705014357
43,51,38.6277372948825,5.500338657240059,0.9893779309220929,z1,40,26.287902878374,64.91564017325649
44,54,-21.2966178311035,4.17143782003182,1.24744756128949,z1,40,13.4044028600467,-7.8922149710568
45,55,-8.16585863940418,3.62787913255069,3.61870020374289,z1,40,77.3784259165359,69.21256727713173
46,56,-19.9427718296647,1.7146248776484998,3.69472297999667,z1,40,64.7856667420068,44.842894912342096
47,57,-14.9897520896047,5.36340151115541,1.9101146278955599,z1,40,-14.1188025239912,-29.1085546135959
48,58,-46.5073986211792,1.96990033887325,4.55489075329992,z1,40,6.3525425564016,-40.1548560647776
49,60,6.48046822752804,3.8472037184486196,4.42543222876417,z1,40,11.8040613285325,18.28452955606054
50,61,29.235955118201698,0.578099826189628,4.00679164062329,z1,40,34.0760870673923,63.312042185593995
51,62,24.499708856456,1.8642882816500101,4.721830897975599,z1,40,-0.37768792730513,24.12202092915087
52,63,46.157591533847196,1.4704053510506498,3.92834354222511,z1,40,39.8919281066295,86.04951964047669
53,64,-15.116480598226198,5.390632451147651,3.9506122640924706,z1,40,38.153556465358896,23.0370758671327
54,65,41.222732095047796,6.280743762736599,0.452312924671711,z1,40,82.3196205375862,123.54235263263399
55,66,19.564274116419302,1.7799723076541103,4.04550099428039,z1,40,31.4880518001688,51.0523259165881
56,67,41.9397230725735,3.12180002005002,0.4792220402415279,z1,40,76.97897109852451,118.91869417109801
57,68,-2.47441187966615,2.6282118507044,0.555871325791934,z1,40,64.3901696861472,61.915757806481054
58,69,20.834131818264698,1.3879169976853503,0.5674759761207719,z1,40,62.753632499673394,83.5877643179381
59,70,-19.7367687476799,5.28103991232709,1.9194006510842698,z1,40,-14.5379062216203,-34.2746749693002
60,71,21.503141243010802,1.08747367012338,1.30259213832819,z1,40,10.9930292950805,32.496170538091306
61,72,-4.85229068435729,5.12004445229996,5.38903520354159,z1,40,-32.125177379155396,-36.97746806351269
62,73,28.042491315864,5.7527621523546895,4.87387985176769,z1,40,-6.51638114544074,21.526110170423262
63,74,-33.256996772252,2.9335968189855497,5.169106188169611,z1,40,-19.654671044525003,-52.911667816777005
64,76,-22.4269340746105,0.18016033347532198,0.70798127010167,z1,40,46.7276294077386,24.300695333128097
65,77,-23.093487974256302,5.2491539830987195,0.7298967162708259,z1,40,44.7061470212977,21.6126590470414
66,78,0.449010962620378,5.568360065964759,4.96579331086934,z1,40,-10.35885525343,-9.909844290809623
67,79,26.450012507848395,3.26153589958172,1.53156203424341,z1,40,1.5701774583561399,28.020189966204534
68,80,-39.1760585829616,1.34703098138437,2.07466543382283,z1,40,-22.0534793809341,-61.2295379638957
69,81,-46.977280243299894,5.29656294045495,3.3705920141380603,z1,40,171.608923865394,124.63164362209409
70,82,-47.16067926492539,1.66187618591661,3.88535552476734,z1,40,43.477625029005296,-3.683054235920096
71,83,-39.669686276465704,3.4240571612217496,3.92584212054514,z1,40,40.092001437557705,0.4223151610920013
72,84,-4.33309450745583,0.27001887104981004,4.7777675632308,z1,40,-2.6188757159612797,-6.95197022341711
73,85,-24.0147088421509,5.041550696228519,1.97454485946761,z1,40,-17.088754069153303,-41.103462911304206
74,87,-37.461313419044,5.29315143012328,4.6099133478404095,z1,40,4.11343413280197,-33.347879286242026
75,88,-41.7207510210574,5.46941139724697,4.30024484863015,z1,40,17.487310149753302,-24.2334408713041
76,89,-6.500727939419451,0.0247476614222902,2.86685769014152,z1,40,-141.913166241907,-148.41389418132644
77,90,-24.095554673112897,4.30583603521694,4.55307030828251,z1,40,6.42721862151469,-17.668336051598207
78,92,22.0882818335667,2.6772731784199197,5.51049899488176,z1,40,-41.0300980262057,-18.941816192639
79,93,-5.684048496186731,2.21798710696865,1.22887322398236,z1,40,14.236083755485499,8.55203525929877
80,94,7.8638531034812305,1.42020355434432,0.5445663220474369,z1,40,66.0443334281843,73.90818653166554
81,95,37.470197211950996,5.73645434328613,4.10560076012258,z1,40,27.765954368600397,65.2361515805514
82,96,4.80233822017908,3.61081731648614,5.21371394852474,z1,40,-21.920965486497696,-17.118627266318615
