"","event_id","cluster_id","phi","r","z"
"1",0,0,2.506733831023,40,-35.3267507173145
"2",0,0,2.506733831023,70,-61.8218137553003
"3",0,0,2.506733831023,100,-88.3168767932862
"4",0,0,2.506733831023,130,-114.811939831272
"5",0,1,1.76981771635463,40,37.6982189245402
"6",0,1,1.76981771635463,70,65.9718831179453
"7",0,1,1.76981771635463,100,94.2455473113504
"8",0,1,1.76981771635463,130,122.519211504756
"9",0,2,2.77921840807079,40,-18.7153698275644
"10",0,2,2.77921840807079,70,-32.7518971982378
"11",0,2,2.77921840807079,100,-46.7884245689111
"12",0,2,2.77921840807079,130,-60.8249519395844
"13",0,3,-0.395736753555664,40,35.0959850761392
"14",0,3,-0.395736753555664,70,61.4179738832435
"15",0,3,-0.395736753555664,100,87.7399626903479
"16",0,3,-0.395736753555664,130,114.061951497452
"17",0,4,1.1675006301732,40,-31.2326063627314
"18",0,4,1.1675006301732,70,-54.65706113478
"19",0,4,1.1675006301732,100,-78.0815159068286
"20",0,4,1.1675006301732,130,-101.505970678877
"21",0,5,2.4650610017881,40,48.6324714044061
"22",0,5,2.4650610017881,70,85.1068249577107
"23",0,5,2.4650610017881,100,121.581178511015
"24",0,5,2.4650610017881,130,158.05553206432
"25",0,6,-2.33987143166572,40,-58.5693259841092
"26",0,6,-2.33987143166572,70,-102.496320472191
"27",0,6,-2.33987143166572,100,-146.423314960273
"28",0,6,-2.33987143166572,130,-190.350309448355
"29",0,7,-2.23302841811678,40,23.4081177049232
"30",0,7,-2.23302841811678,70,40.9642059836156
"31",0,7,-2.23302841811678,100,58.520294262308
"32",0,7,-2.23302841811678,130,76.0763825410004
"33",0,8,-0.654828577450099,40,-42.9183996635961
"34",0,8,-0.654828577450099,70,-75.1071994112932
"35",0,8,-0.654828577450099,100,-107.29599915899
"36",0,8,-0.654828577450099,130,-139.484798906687
"37",0,9,2.45297239621487,40,-25.287483611594
"38",0,9,2.45297239621487,70,-44.2530963202896
"39",0,9,2.45297239621487,100,-63.2187090289851
"40",0,9,2.45297239621487,130,-82.1843217376807
"41",1,0,-2.64912497708863,40,57.3809368956949
"42",1,0,-2.64912497708863,70,100.416639567466
"43",1,0,-2.64912497708863,100,143.452342239237
"44",1,0,-2.64912497708863,130,186.488044911008
"45",1,1,0.436356673835531,40,-54.6262056149638
"46",1,1,0.436356673835531,70,-95.5958598261867
"47",1,1,0.436356673835531,100,-136.56551403741
"48",1,1,0.436356673835531,130,-177.535168248632
"49",1,2,1.86172588115574,40,22.2949652105895
"50",1,2,1.86172588115574,70,39.0161891185317
"51",1,2,1.86172588115574,100,55.7374130264739
"52",1,2,1.86172588115574,130,72.458636934416
