"","cluster_id","z","phi","r"
"1",1,-58.4881866699455,1.65384979078504,40
"2",1,-98.355909026479,1.65384979078504,70
"3",1,-138.223631383013,1.65384979078504,100
"4",1,-178.091353739546,1.65384979078504,130
"5",2,11.1009621335794,2.80012954196059,40
"6",2,4.25386476708844,2.80012954196059,70
"7",2,-2.59323259940254,2.80012954196059,100
"8",2,-9.44032996589353,2.80012954196059,130
"9",3,37.8073889607712,2.31688451649987,40
"10",3,87.8118915911559,2.31688451649987,70
"11",3,137.81639422154,2.31688451649987,100
"12",3,187.820896851925,2.31688451649987,130
"13",4,-20.7050845274199,1.88875017958053,40
"14",4,-41.5522222432359,1.88875017958053,70
"15",4,-62.399359959052,1.88875017958053,100
"16",4,-83.246497674868,1.88875017958053,130
"17",5,43.6321979630242,5.84505892671439,40
"18",5,50.2877058593153,5.84505892671439,70
"19",5,56.9432137556064,5.84505892671439,100
"20",5,63.5987216518974,5.84505892671439,130
"21",6,-8.80070830917326,2.11791452510394,40
"22",6,-2.18637095454279,2.11791452510394,70
"23",6,4.42796640008769,2.11791452510394,100
"24",6,11.0423037547182,2.11791452510394,130
"25",7,-12.4386038549446,1.58503585350548,40
"26",7,-27.6780223272628,1.58503585350548,70
"27",7,-42.917440799581,1.58503585350548,100
"28",7,-58.1568592718992,1.58503585350548,130
"29",10,-6.5366307684631,5.55650268044563,40
"30",10,-0.653298503954105,5.55650268044563,70
"31",10,5.23003376055489,5.55650268044563,100
"32",10,11.1133660250639,5.55650268044563,130
"33",11,7.63382164018476,2.55926997099839,40
"34",11,5.62858550207656,2.55926997099839,70
"35",11,3.62334936396836,2.55926997099839,100
"36",11,1.61811322586016,2.55926997099839,130
"37",12,43.1197394214297,3.79748989415972,40
"38",12,52.92839003899,3.79748989415972,70
"39",12,62.7370406565503,3.79748989415972,100
"40",12,72.5456912741107,3.79748989415972,130
"41",13,-10.349872529832,4.89997450817773,40
"42",13,-17.1054096621101,4.89997450817773,70
"43",13,-23.8609467943882,4.89997450817773,100
"44",13,-30.6164839266663,4.89997450817773,130
"45",14,-39.8329754953018,3.62078156166266,40
"46",14,-41.7800327461932,3.62078156166266,70
"47",14,-43.7270899970846,3.62078156166266,100
"48",14,-45.6741472479759,3.62078156166266,130
"49",15,-132.195750879756,6.27623578798993,40
"50",16,8.89427802399975,5.81783881524177,40
"51",16,1.86738944858505,5.81783881524177,70
"52",16,-5.15949912682965,5.81783881524177,100
"53",16,-12.1863877022444,5.81783881524177,130
"54",18,38.7056829913386,1.73416014732518,40
"55",18,38.3913088368716,1.73416014732518,70
"56",18,38.0769346824047,1.73416014732518,100
"57",18,37.7625605279378,1.73416014732518,130
"58",20,19.6047835526359,1.6078929346918,40
"59",20,51.7202612842729,1.6078929346918,70
"60",20,83.83573901591,1.6078929346918,100
"61",20,115.951216747547,1.6078929346918,130
"62",21,114.737751541517,2.26044205609627,40
"63",22,67.8612944356695,4.23249893810105,40
"64",22,151.341620195773,4.23249893810105,70
"65",23,41.3110414096529,4.57322641991118,40
"66",23,58.3431780063039,4.57322641991118,70
"67",23,75.3753146029549,4.57322641991118,100
"68",23,92.4074511996059,4.57322641991118,130
"69",24,26.8529434115852,4.86763359826045,40
"70",24,68.3844491012092,4.86763359826045,70
"71",24,109.915954790833,4.86763359826045,100
"72",24,151.447460480457,4.86763359826045,130
"73",25,-39.6430962198011,1.32585480770031,40
"74",25,-47.3424875371617,1.32585480770031,70
"75",25,-55.0418788545223,1.32585480770031,100
"76",25,-62.7412701718829,1.32585480770031,130
"77",26,44.9866339480867,4.9785727955976,40
"78",26,62.6306433201004,4.9785727955976,70
